filename,width,height,class,xmin,ymin,xmax,ymax
VID_20180108_213351_0009 18172.jpg,1920,1080,ball,641,521,679,560
VID_20180108_213351_0009 18173.jpg,1920,1080,ball,641,524,677,563
VID_20180108_213351_0009 18174.jpg,1920,1080,ball,641,524,676,561
VID_20180108_213351_0009 18175.jpg,1920,1080,ball,638,520,672,558
VID_20180108_213351_0009 18176.jpg,1920,1080,ball,640,522,671,558
VID_20180108_213351_0009 18177.jpg,1920,1080,ball,642,525,670,561
VID_20180108_213351_0009 18178.jpg,1920,1080,ball,639,523,669,564
VID_20180108_213351_0009 18179.jpg,1920,1080,ball,632,524,668,563
VID_20180108_213351_0009 18180.jpg,1920,1080,ball,621,522,664,560
VID_20180108_213351_0009 18181.jpg,1920,1080,ball,622,521,669,563
VID_20180108_213351_0009 18183.jpg,1920,1080,ball,618,522,662,561
VID_20180108_213351_0009 18184.jpg,1920,1080,ball,615,519,661,564
VID_20180108_213351_0009 18185.jpg,1920,1080,ball,612,525,650,558
VID_20180108_213351_0009 18186.jpg,1920,1080,ball,611,522,650,561
VID_20180108_213351_0009 18188.jpg,1920,1080,ball,606,523,648,562
VID_20180108_213351_0009 18189.jpg,1920,1080,ball,605,526,647,559
VID_20180108_213351_0009 18190.jpg,1920,1080,ball,604,524,643,560
VID_20180108_213351_0009 18191.jpg,1920,1080,ball,600,521,643,559
VID_20180108_213351_0009 18192.jpg,1920,1080,ball,598,524,644,557
VID_20180108_213351_0009 18193.jpg,1920,1080,ball,596,520,640,558
VID_20180108_213351_0009 18195.jpg,1920,1080,ball,596,522,634,551
VID_20180108_213351_0009 18196.jpg,1920,1080,ball,593,525,633,549
VID_20180108_213351_0009 18197.jpg,1920,1080,ball,594,523,631,548
VID_20180108_213351_0009 18198.jpg,1920,1080,ball,588,521,626,559
VID_20180108_213351_0009 18199.jpg,1920,1080,ball,590,522,622,568
VID_20180108_213351_0009 18200.jpg,1920,1080,ball,586,523,621,561
VID_20180108_213351_0009 18202.jpg,1920,1080,ball,584,530,618,564
VID_20180108_213351_0009 18203.jpg,1920,1080,ball,576,529,628,562
VID_20180108_213351_0009 18204.jpg,1920,1080,ball,576,525,621,568
VID_20180108_213351_0009 18205.jpg,1920,1080,ball,578,526,622,569
VID_20180108_213351_0009 18206.jpg,1920,1080,ball,578,526,621,575
VID_20180108_213351_0009 18207.jpg,1920,1080,ball,584,533,612,578
VID_20180108_213351_0009 18209.jpg,1920,1080,ball,580,542,619,588
VID_20180108_213351_0009 18210.jpg,1920,1080,ball,579,552,619,594
VID_20180108_213351_0009 18211.jpg,1920,1080,ball,580,555,619,605
VID_20180108_213351_0009 18212.jpg,1920,1080,ball,578,562,622,605
VID_20180108_213351_0009 18213.jpg,1920,1080,ball,581,567,618,601
VID_20180108_213351_0009 18214.jpg,1920,1080,ball,577,565,622,603
VID_20180108_213351_0009 18215.jpg,1920,1080,ball,581,564,621,601
VID_20180108_213351_0009 18217.jpg,1920,1080,ball,581,560,617,597
VID_20180108_213351_0009 18218.jpg,1920,1080,ball,579,558,617,593
VID_20180108_213351_0009 18220.jpg,1920,1080,ball,581,547,621,587
VID_20180108_213351_0009 18221.jpg,1920,1080,ball,580,543,620,584
VID_20180108_213351_0009 18222.jpg,1920,1080,ball,580,542,620,584
VID_20180108_213351_0009 18223.jpg,1920,1080,ball,579,537,629,578
VID_20180108_213351_0009 18224.jpg,1920,1080,ball,579,536,623,572
VID_20180108_213351_0009 18226.jpg,1920,1080,ball,580,540,618,584
VID_20180108_213351_0009 18227.jpg,1920,1080,ball,580,541,621,585
VID_20180108_213351_0009 18228.jpg,1920,1080,ball,579,544,618,585
VID_20180108_213351_0009 18229.jpg,1920,1080,ball,580,549,621,590
VID_20180108_213351_0009 18230.jpg,1920,1080,ball,579,544,621,586
VID_20180108_213351_0009 18231.jpg,1920,1080,ball,580,544,621,578
VID_20180108_213351_0009 18233.jpg,1920,1080,ball,580,541,616,574
VID_20180108_213351_0009 18234.jpg,1920,1080,ball,580,541,614,578
VID_20180108_213351_0009 18235.jpg,1920,1080,ball,575,535,613,572
VID_20180108_213351_0009 18236.jpg,1920,1080,ball,575,540,616,580
VID_20180108_213351_0009 18237.jpg,1920,1080,ball,579,535,621,585
VID_20180108_213351_0009 18239.jpg,1920,1080,ball,576,539,612,586
VID_20180108_213351_0009 18240.jpg,1920,1080,ball,580,539,616,583
VID_20180108_213351_0009 18328.jpg,1920,1080,ball,579,560,617,604
VID_20180108_213351_0009 18329.jpg,1920,1080,ball,577,559,622,601
VID_20180108_213351_0009 18330.jpg,1920,1080,ball,575,553,627,598
VID_20180108_213351_0009 18334.jpg,1920,1080,ball,597,519,645,564
VID_20180108_213351_0009 18336.jpg,1920,1080,ball,534,498,632,550
VID_20180108_213351_0009 18338.jpg,1920,1080,ball,389,503,460,557
VID_20180108_213351_0009 18339.jpg,1920,1080,ball,369,521,428,573
VID_20180108_213351_0009 18341.jpg,1920,1080,ball,352,571,396,627
VID_20180108_213351_0009 18344.jpg,1920,1080,ball,301,639,352,690
VID_20180108_213351_0009 18345.jpg,1920,1080,ball,293,657,349,705
VID_20180108_213351_0009 15386.jpg,1920,1080,ball,843,671,884,707
VID_20180108_213351_0009 15387.jpg,1920,1080,ball,830,657,877,704
VID_20180108_213351_0009 15389.jpg,1920,1080,ball,805,642,851,683
VID_20180108_213351_0009 15390.jpg,1920,1080,ball,794,634,842,676
VID_20180108_213351_0009 15392.jpg,1920,1080,ball,779,613,821,659
VID_20180108_213351_0009 15393.jpg,1920,1080,ball,781,595,824,640
VID_20180108_213351_0009 15394.jpg,1920,1080,ball,784,587,825,627
VID_20180108_213351_0009 15398.jpg,1920,1080,ball,784,535,830,588
VID_20180108_213351_0009 15401.jpg,1920,1080,ball,790,506,834,556
VID_20180108_213351_0009 15402.jpg,1920,1080,ball,788,492,835,543
VID_20180108_213351_0009 15403.jpg,1920,1080,ball,793,486,835,527
VID_20180108_213351_0009 15405.jpg,1920,1080,ball,791,458,832,505
VID_20180108_213351_0009 15406.jpg,1920,1080,ball,792,449,835,489
VID_20180108_213351_0009 18078.jpg,1920,1080,ball,596,218,654,261
VID_20180108_213351_0009 18079.jpg,1920,1080,ball,599,216,642,260
VID_20180108_213351_0009 18080.jpg,1920,1080,ball,593,223,641,259
VID_20180108_213351_0009 18082.jpg,1920,1080,ball,586,219,645,267
VID_20180108_213351_0009 18083.jpg,1920,1080,ball,597,220,655,273
VID_20180108_213351_0009 18084.jpg,1920,1080,ball,592,220,645,266
VID_20180108_213351_0009 18085.jpg,1920,1080,ball,592,226,645,273
VID_20180108_213351_0009 18087.jpg,1920,1080,ball,595,225,650,280
VID_20180108_213351_0009 18088.jpg,1920,1080,ball,590,229,649,272
VID_20180108_213351_0009 18089.jpg,1920,1080,ball,600,236,640,275
VID_20180108_213351_0009 18091.jpg,1920,1080,ball,596,239,645,279
VID_20180108_213351_0009 18092.jpg,1920,1080,ball,593,239,650,281
VID_20180108_213351_0009 18093.jpg,1920,1080,ball,591,239,648,285
VID_20180108_213351_0009 18094.jpg,1920,1080,ball,588,245,651,293
VID_20180108_213351_0009 18095.jpg,1920,1080,ball,598,239,651,290
VID_20180108_213351_0009 18096.jpg,1920,1080,ball,598,227,654,288
VID_20180108_213351_0009 18097.jpg,1920,1080,ball,598,232,640,271
VID_20180108_213351_0009 18099.jpg,1920,1080,ball,597,216,646,261
VID_20180108_213351_0009 18100.jpg,1920,1080,ball,610,223,652,267
VID_20180108_213351_0009 18101.jpg,1920,1080,ball,596,231,657,272
VID_20180108_213351_0009 18102.jpg,1920,1080,ball,605,231,656,276
VID_20180108_213351_0009 18103.jpg,1920,1080,ball,599,239,652,278
VID_20180108_213351_0009 18105.jpg,1920,1080,ball,604,243,659,289
VID_20180108_213351_0009 18106.jpg,1920,1080,ball,607,249,658,296
VID_20180108_213351_0009 18107.jpg,1920,1080,ball,611,253,656,301
VID_20180108_213351_0009 18110.jpg,1920,1080,ball,615,254,672,310
VID_20180108_213351_0009 18111.jpg,1920,1080,ball,617,265,660,304
VID_20180108_213351_0009 18112.jpg,1920,1080,ball,618,259,662,306
VID_20180108_213351_0009 18113.jpg,1920,1080,ball,606,265,668,314
VID_20180108_213351_0009 18115.jpg,1920,1080,ball,624,275,664,317
VID_20180108_213351_0009 18116.jpg,1920,1080,ball,628,275,662,322
VID_20180108_213351_0009 18117.jpg,1920,1080,ball,630,285,660,329
VID_20180108_213351_0009 18118.jpg,1920,1080,ball,634,286,664,331
VID_20180108_213351_0009 18119.jpg,1920,1080,ball,626,290,668,331
VID_20180108_213351_0009 18120.jpg,1920,1080,ball,633,298,668,336
VID_20180108_213351_0009 18122.jpg,1920,1080,ball,632,304,674,353
VID_20180108_213351_0009 18125.jpg,1920,1080,ball,633,315,676,361
VID_20180108_213351_0009 18126.jpg,1920,1080,ball,632,322,677,370
VID_20180108_213351_0009 18127.jpg,1920,1080,ball,637,329,677,372
VID_20180108_213351_0009 18128.jpg,1920,1080,ball,639,336,676,376
VID_20180108_213351_0009 18130.jpg,1920,1080,ball,634,346,680,394
VID_20180108_213351_0009 18131.jpg,1920,1080,ball,637,353,682,399
VID_20180108_213351_0009 18132.jpg,1920,1080,ball,638,358,681,404
VID_20180108_213351_0009 18133.jpg,1920,1080,ball,638,369,682,412
VID_20180108_213351_0009 18134.jpg,1920,1080,ball,640,374,683,418
VID_20180108_213351_0009 18135.jpg,1920,1080,ball,640,383,680,431
VID_20180108_213351_0009 18137.jpg,1920,1080,ball,638,397,685,436
VID_20180108_213351_0009 18139.jpg,1920,1080,ball,639,410,686,451
VID_20180108_213351_0009 18140.jpg,1920,1080,ball,638,419,688,458
VID_20180108_213351_0009 18141.jpg,1920,1080,ball,638,424,689,462
VID_20180108_213351_0009 18142.jpg,1920,1080,ball,648,431,685,470
VID_20180108_213351_0009 18143.jpg,1920,1080,ball,646,441,686,473
VID_20180108_213351_0009 18144.jpg,1920,1080,ball,644,448,689,479
VID_20180108_213351_0009 18145.jpg,1920,1080,ball,647,450,686,489
VID_20180108_213351_0009 18146.jpg,1920,1080,ball,647,458,689,493
VID_20180108_213351_0009 18147.jpg,1920,1080,ball,651,463,689,504
VID_20180108_213351_0009 18148.jpg,1920,1080,ball,645,470,695,509
VID_20180108_213351_0009 18149.jpg,1920,1080,ball,653,479,688,515
VID_20180108_213351_0009 18151.jpg,1920,1080,ball,650,486,690,521
VID_20180108_213351_0009 18152.jpg,1920,1080,ball,653,485,689,522
VID_20180108_213351_0009 18153.jpg,1920,1080,ball,647,485,691,531
VID_20180108_213351_0009 18156.jpg,1920,1080,ball,643,491,694,537
VID_20180108_213351_0009 03483.jpg,1920,1080,ball,974,467,1018,507
VID_20180108_213351_0009 03484.jpg,1920,1080,ball,976,470,1014,511
VID_20180108_213351_0009 03485.jpg,1920,1080,ball,974,470,1016,512
VID_20180108_213351_0009 03486.jpg,1920,1080,ball,975,473,1012,509
VID_20180108_213351_0009 03487.jpg,1920,1080,ball,977,479,1012,510
VID_20180108_213351_0009 03488.jpg,1920,1080,ball,977,478,1017,511
VID_20180108_213351_0009 03489.jpg,1920,1080,ball,974,476,1013,513
VID_20180108_213351_0009 03490.jpg,1920,1080,ball,969,479,1012,512
VID_20180108_213351_0009 03493.jpg,1920,1080,ball,975,487,1017,527
VID_20180108_213351_0009 03495.jpg,1920,1080,ball,972,482,1015,525
VID_20180108_213351_0009 03496.jpg,1920,1080,ball,975,485,1011,519
VID_20180108_213351_0009 03499.jpg,1920,1080,ball,972,475,1011,508
VID_20180108_213351_0009 03501.jpg,1920,1080,ball,976,470,1015,507
VID_20180108_213351_0009 03502.jpg,1920,1080,ball,974,462,1021,511
VID_20180108_213351_0009 03503.jpg,1920,1080,ball,974,459,1017,501
VID_20180108_213351_0009 03504.jpg,1920,1080,ball,976,460,1017,496
VID_20180108_213351_0009 03505.jpg,1920,1080,ball,973,460,1013,497
VID_20180108_213351_0009 03507.jpg,1920,1080,ball,973,455,1019,494
VID_20180108_213351_0009 03508.jpg,1920,1080,ball,970,450,1017,487
VID_20180108_213351_0009 03509.jpg,1920,1080,ball,974,449,1013,484
VID_20180108_213351_0009 03510.jpg,1920,1080,ball,975,445,1015,487
VID_20180108_213351_0009 03511.jpg,1920,1080,ball,970,446,1014,483
VID_20180108_213351_0009 03512.jpg,1920,1080,ball,970,441,1023,480
VID_20180108_213351_0009 03513.jpg,1920,1080,ball,972,442,1012,484
VID_20180108_213351_0009 03514.jpg,1920,1080,ball,977,451,1011,489
VID_20180108_213351_0009 03515.jpg,1920,1080,ball,977,459,1017,501
VID_20180108_213351_0009 03516.jpg,1920,1080,ball,982,469,1021,507
VID_20180108_213351_0009 03517.jpg,1920,1080,ball,976,478,1025,521
VID_20180108_213351_0009 03518.jpg,1920,1080,ball,987,492,1023,529
VID_20180108_213351_0009 03519.jpg,1920,1080,ball,988,502,1029,539
VID_20180108_213351_0009 03522.jpg,1920,1080,ball,1060,509,1130,544
VID_20180108_213351_0009 03523.jpg,1920,1080,ball,1110,502,1185,541
VID_20180108_213351_0009 03524.jpg,1920,1080,ball,1163,502,1233,535
VID_20180108_213351_0009 03525.jpg,1920,1080,ball,1210,496,1269,531
VID_20180108_213351_0009 03527.jpg,1920,1080,ball,1286,487,1333,522
VID_20180108_213351_0009 06732.jpg,1920,1080,ball,726,508,762,538
VID_20180108_213351_0009 06733.jpg,1920,1080,ball,724,503,763,547
VID_20180108_213351_0009 06734.jpg,1920,1080,ball,723,503,764,542
VID_20180108_213351_0009 06735.jpg,1920,1080,ball,721,507,764,543
VID_20180108_213351_0009 10686.jpg,1920,1080,ball,844,254,888,287
VID_20180108_213351_0009 10687.jpg,1920,1080,ball,847,249,885,287
VID_20180108_213351_0009 10689.jpg,1920,1080,ball,848,237,894,278
VID_20180108_213351_0009 10690.jpg,1920,1080,ball,852,232,892,279
VID_20180108_213351_0009 10691.jpg,1920,1080,ball,848,226,900,273
VID_20180108_213351_0009 10692.jpg,1920,1080,ball,854,221,895,263
VID_20180108_213351_0009 10693.jpg,1920,1080,ball,851,220,904,262
VID_20180108_213351_0009 10696.jpg,1920,1080,ball,857,226,905,261
VID_20180108_213351_0009 10697.jpg,1920,1080,ball,858,229,909,274
VID_20180108_213351_0009 10698.jpg,1920,1080,ball,851,227,908,272
VID_20180108_213351_0009 10699.jpg,1920,1080,ball,859,225,916,276
VID_20180108_213351_0009 10701.jpg,1920,1080,ball,869,237,902,275
VID_20180108_213351_0009 10702.jpg,1920,1080,ball,863,242,910,274
VID_20180108_213351_0009 10703.jpg,1920,1080,ball,866,244,914,282
VID_20180108_213351_0009 10704.jpg,1920,1080,ball,867,239,912,288
VID_20180108_213351_0009 10707.jpg,1920,1080,ball,864,249,921,297
VID_20180108_213351_0009 10708.jpg,1920,1080,ball,868,255,926,299
VID_20180108_213351_0009 10709.jpg,1920,1080,ball,859,258,931,303
VID_20180108_213351_0009 10710.jpg,1920,1080,ball,864,252,930,300
VID_20180108_213351_0009 10711.jpg,1920,1080,ball,867,256,926,308
VID_20180108_213351_0009 10712.jpg,1920,1080,ball,869,259,922,308
VID_20180108_213351_0009 10730.jpg,1920,1080,ball,883,300,933,354
VID_20180108_213351_0009 10732.jpg,1920,1080,ball,880,312,931,354
VID_20180108_213351_0009 10734.jpg,1920,1080,ball,891,319,929,357
VID_20180108_213351_0009 10735.jpg,1920,1080,ball,893,317,931,358
VID_20180108_213351_0009 10738.jpg,1920,1080,ball,892,322,931,369
VID_20180108_213351_0009 10739.jpg,1920,1080,ball,888,329,929,363
VID_20180108_213351_0009 15371.jpg,1920,1080,ball,775,684,808,722
VID_20180108_213351_0009 15372.jpg,1920,1080,ball,777,676,829,716
VID_20180108_213351_0009 15373.jpg,1920,1080,ball,791,671,842,709
VID_20180108_213351_0009 15374.jpg,1920,1080,ball,810,669,855,704
VID_20180108_213351_0009 15375.jpg,1920,1080,ball,822,661,869,700
VID_20180108_213351_0009 15376.jpg,1920,1080,ball,837,655,886,693
VID_20180108_213351_0009 15378.jpg,1920,1080,ball,866,642,912,685
VID_20180108_213351_0009 15379.jpg,1920,1080,ball,877,633,928,684
VID_20180108_213351_0009 15382.jpg,1920,1080,ball,880,694,932,744
VID_20180108_213351_0009 15383.jpg,1920,1080,ball,869,693,929,737
VID_20180108_213351_0009 15384.jpg,1920,1080,ball,860,682,909,726
VID_20180108_213351_0009 15385.jpg,1920,1080,ball,849,677,897,718
VID_20180108_205429_0007 29769.jpg,1920,1080,ball,1373,242,1419,286
VID_20180108_205429_0007 29771.jpg,1920,1080,ball,1364,245,1406,293
VID_20180108_205429_0007 29772.jpg,1920,1080,ball,1358,249,1403,295
VID_20180108_205429_0007 29773.jpg,1920,1080,ball,1360,254,1404,301
VID_20180108_205429_0007 29774.jpg,1920,1080,ball,1364,260,1404,301
VID_20180108_205429_0007 29775.jpg,1920,1080,ball,1359,265,1406,302
VID_20180108_205429_0007 29784.jpg,1920,1080,ball,1348,292,1387,328
VID_20180108_205429_0007 29785.jpg,1920,1080,ball,1347,295,1382,334
VID_20180108_205429_0007 29786.jpg,1920,1080,ball,1344,297,1382,334
VID_20180108_205429_0007 29787.jpg,1920,1080,ball,1341,299,1382,341
VID_20180108_205429_0007 29788.jpg,1920,1080,ball,1345,303,1378,340
VID_20180108_205429_0007 29789.jpg,1920,1080,ball,1345,303,1381,338
VID_20180108_205429_0007 29790.jpg,1920,1080,ball,1346,303,1378,339
VID_20180108_205429_0007 29792.jpg,1920,1080,ball,1347,305,1381,341
VID_20180108_205429_0007 29793.jpg,1920,1080,ball,1346,304,1379,337
VID_20180108_205429_0007 29795.jpg,1920,1080,ball,1342,304,1379,339
VID_20180108_205429_0007 29796.jpg,1920,1080,ball,1344,301,1381,339
VID_20180108_205429_0007 29797.jpg,1920,1080,ball,1344,302,1385,342
VID_20180108_205429_0007 29798.jpg,1920,1080,ball,1342,304,1384,340
VID_20180108_205429_0007 29799.jpg,1920,1080,ball,1342,304,1379,337
VID_20180108_205429_0007 29801.jpg,1920,1080,ball,1345,301,1379,342
VID_20180108_205429_0007 29802.jpg,1920,1080,ball,1347,304,1384,337
VID_20180108_205429_0007 29802.jpg,1920,1080,ball,1347,304,1384,337
VID_20180108_205429_0007 29805.jpg,1920,1080,ball,1346,309,1377,344
VID_20180108_205429_0007 29806.jpg,1920,1080,ball,1347,303,1379,340
VID_20180108_205429_0007 29807.jpg,1920,1080,ball,1346,300,1381,340
VID_20180108_205429_0007 29808.jpg,1920,1080,ball,1345,305,1381,339
VID_20180108_205429_0007 29809.jpg,1920,1080,ball,1345,306,1382,342
VID_20180108_205429_0007 29810.jpg,1920,1080,ball,1344,305,1382,340
VID_20180108_205429_0007 29811.jpg,1920,1080,ball,1345,303,1382,339
VID_20180108_205429_0007 29812.jpg,1920,1080,ball,1344,306,1380,343
VID_20180108_205429_0007 29813.jpg,1920,1080,ball,1345,306,1381,341
VID_20180108_205429_0007 29814.jpg,1920,1080,ball,1347,306,1379,339
VID_20180108_205429_0007 29815.jpg,1920,1080,ball,1345,304,1382,340
VID_20180108_205429_0007 29816.jpg,1920,1080,ball,1349,305,1383,341
VID_20180108_205429_0007 29818.jpg,1920,1080,ball,1346,304,1382,338
VID_20180108_205429_0007 29819.jpg,1920,1080,ball,1345,303,1381,339
VID_20180108_205429_0007 29820.jpg,1920,1080,ball,1345,304,1377,339
VID_20180108_205429_0007 29821.jpg,1920,1080,ball,1344,304,1379,336
VID_20180108_205429_0007 29823.jpg,1920,1080,ball,1346,304,1383,337
VID_20180108_205429_0007 29824.jpg,1920,1080,ball,1345,303,1379,336
VID_20180108_205429_0007 29826.jpg,1920,1080,ball,1341,306,1382,340
VID_20180108_205429_0007 29827.jpg,1920,1080,ball,1341,310,1383,346
VID_20180108_205429_0007 29828.jpg,1920,1080,ball,1344,317,1380,349
VID_20180108_205429_0007 29829.jpg,1920,1080,ball,1341,323,1378,367
VID_20180108_205429_0007 29830.jpg,1920,1080,ball,1340,334,1379,372
VID_20180108_205429_0007 29831.jpg,1920,1080,ball,1344,336,1382,383
VID_20180108_205429_0007 29832.jpg,1920,1080,ball,1340,345,1380,385
VID_20180108_205429_0007 29833.jpg,1920,1080,ball,1333,357,1380,403
VID_20180108_205429_0007 29834.jpg,1920,1080,ball,1254,365,1341,400
VID_20180108_205429_0007 29835.jpg,1920,1080,ball,1155,368,1241,403
VID_20180108_205429_0007 29836.jpg,1920,1080,ball,1084,374,1172,408
VID_20180108_205429_0007 29838.jpg,1920,1080,ball,994,380,1033,409
VID_20180108_213351_0009 03443.jpg,1920,1080,ball,974,479,1012,514
VID_20180108_213351_0009 03445.jpg,1920,1080,ball,970,473,1009,509
VID_20180108_213351_0009 03446.jpg,1920,1080,ball,970,476,1007,513
VID_20180108_213351_0009 03447.jpg,1920,1080,ball,971,480,1008,516
VID_20180108_213351_0009 03448.jpg,1920,1080,ball,973,480,1004,517
VID_20180108_213351_0009 03450.jpg,1920,1080,ball,969,493,1012,535
VID_20180108_213351_0009 03451.jpg,1920,1080,ball,974,501,1012,547
VID_20180108_213351_0009 03452.jpg,1920,1080,ball,973,509,1011,554
VID_20180108_213351_0009 03453.jpg,1920,1080,ball,973,514,1012,561
VID_20180108_213351_0009 03454.jpg,1920,1080,ball,975,521,1012,559
VID_20180108_213351_0009 03455.jpg,1920,1080,ball,979,525,1011,560
VID_20180108_213351_0009 03456.jpg,1920,1080,ball,972,519,1007,553
VID_20180108_213351_0009 03457.jpg,1920,1080,ball,976,517,1013,549
VID_20180108_213351_0009 03458.jpg,1920,1080,ball,977,507,1011,546
VID_20180108_213351_0009 03459.jpg,1920,1080,ball,973,499,1016,543
VID_20180108_213351_0009 03460.jpg,1920,1080,ball,973,494,1014,540
VID_20180108_213351_0009 03461.jpg,1920,1080,ball,974,485,1016,531
VID_20180108_213351_0009 03462.jpg,1920,1080,ball,978,482,1013,526
VID_20180108_213351_0009 03466.jpg,1920,1080,ball,973,474,1014,507
VID_20180108_213351_0009 03467.jpg,1920,1080,ball,972,478,1017,513
VID_20180108_213351_0009 03468.jpg,1920,1080,ball,976,480,1011,513
VID_20180108_213351_0009 03469.jpg,1920,1080,ball,975,476,1014,518
VID_20180108_213351_0009 03470.jpg,1920,1080,ball,977,480,1018,515
VID_20180108_213351_0009 03471.jpg,1920,1080,ball,974,476,1025,523
VID_20180108_213351_0009 03472.jpg,1920,1080,ball,975,476,1014,517
VID_20180108_213351_0009 03473.jpg,1920,1080,ball,968,475,1017,516
VID_20180108_213351_0009 03474.jpg,1920,1080,ball,975,474,1013,517
VID_20180108_213351_0009 03476.jpg,1920,1080,ball,972,475,1015,516
VID_20180108_213351_0009 03478.jpg,1920,1080,ball,976,467,1013,509
VID_20180108_213351_0009 03479.jpg,1920,1080,ball,976,471,1013,505
VID_20180108_213351_0009 03480.jpg,1920,1080,ball,972,469,1017,511
VID_20180108_213351_0009 03481.jpg,1920,1080,ball,974,467,1016,507
VID_20180108_213351_0009 03482.jpg,1920,1080,ball,975,468,1016,508
VID_20180108_205429_0007 29609.jpg,1920,1080,ball,721,518,756,559
VID_20180108_205429_0007 29611.jpg,1920,1080,ball,718,522,757,555
VID_20180108_205429_0007 29612.jpg,1920,1080,ball,717,517,758,556
VID_20180108_205429_0007 29613.jpg,1920,1080,ball,721,519,756,555
VID_20180108_205429_0007 29614.jpg,1920,1080,ball,721,520,760,559
VID_20180108_205429_0007 29616.jpg,1920,1080,ball,720,520,764,561
VID_20180108_205429_0007 29675.jpg,1920,1080,ball,720,523,755,554
VID_20180108_205429_0007 29676.jpg,1920,1080,ball,718,526,759,555
VID_20180108_205429_0007 29678.jpg,1920,1080,ball,773,438,838,512
VID_20180108_205429_0007 29680.jpg,1920,1080,ball,871,332,932,393
VID_20180108_205429_0007 29681.jpg,1920,1080,ball,923,281,980,347
VID_20180108_205429_0007 29682.jpg,1920,1080,ball,964,243,1030,307
VID_20180108_205429_0007 29683.jpg,1920,1080,ball,1025,210,1084,260
VID_20180108_205429_0007 29684.jpg,1920,1080,ball,1067,231,1116,277
VID_20180108_205429_0007 29685.jpg,1920,1080,ball,1134,229,1165,267
VID_20180108_205429_0007 29686.jpg,1920,1080,ball,1135,247,1182,302
VID_20180108_205429_0007 29687.jpg,1920,1080,ball,1157,280,1202,336
VID_20180108_205429_0007 29688.jpg,1920,1080,ball,1175,313,1222,368
VID_20180108_205429_0007 29689.jpg,1920,1080,ball,1191,335,1247,397
VID_20180108_205429_0007 29690.jpg,1920,1080,ball,1215,367,1258,409
VID_20180108_205429_0007 29693.jpg,1920,1080,ball,1279,453,1327,500
VID_20180108_205429_0007 29695.jpg,1920,1080,ball,1314,502,1374,560
